title,release_year,certificate,run_time,genre,rating,gross (USD),votes,director,description
Memento,2000,R,113 min,"Mystery, Thriller",8.4,$25.54M,"1,242,437",Christopher Nolan,A man with short-term memory loss attempts to track down his wife's murderer.
Titanic,1997,PG-13,194 min,"Drama, Romance",7.9,$659.33M,"1,181,259",James Cameron,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
The Da Vinci Code,2006,PG-13,149 min,"Mystery, Thriller",6.6,$217.54M,"436,864",Ron Howard,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity."
Star Trek,2009,PG-13,127 min,"Action, Adventure, Sci-Fi",7.9,$257.73M,"606,072",J.J. Abrams,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
Saw,2004,R,103 min,"Horror, Mystery, Thriller",7.6,$56.00M,"426,285",James Wan,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
American Beauty,1999,R,122 min,Drama,8.4,$130.10M,"1,158,389",Sam Mendes,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
The Godfather: Part II,1974,R,202 min,"Crime, Drama",9,$57.30M,"1,274,713",Francis Ford Coppola,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
The 40-Year-Old Virgin,2005,R,116 min,"Comedy, Romance",7.1,$109.45M,"442,235",Judd Apatow,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother."
Minority Report,2002,PG-13,145 min,"Action, Crime, Mystery",7.6,$132.07M,"556,107",Steven Spielberg,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
Joe Dirt,2001,PG-13,91 min,"Adventure, Comedy, Drama",5.9,$27.09M,"57,861",Dennie Gordon,"After being abandoned by his parents at the Grand Canyon, Joe Dirt tells the story of his journey to find his parents."
Avatar,2009,PG-13,162 min,"Action, Adventure, Fantasy",7.9,$760.51M,"1,303,387",James Cameron,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Man on Fire,2004,R,146 min,"Action, Crime, Drama",7.7,$77.91M,"366,844",Tony Scott,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
Terminator 2: Judgment Day,1991,R,137 min,"Action, Sci-Fi",8.6,$204.84M,"1,102,900",James Cameron,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old adolescent son John from an even more advanced and powerful cyborg."
Snatch,2000,R,102 min,"Comedy, Crime",8.2,$30.33M,"860,227",Guy Ritchie,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Beverly Hills Ninja,1997,PG-13,88 min,"Action, Comedy",5.5,$31.24M,"42,242",Dennis Dugan,A man tries to rescue a woman with a little help from his half brother.
Platoon,1986,R,120 min,"Drama, War",8.1,$138.53M,"417,026",Oliver Stone,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
The Last Castle,2001,R,131 min,"Action, Drama, Thriller",6.9,$18.21M,"81,603",Rod Lurie,A court-martialed General rallies together twelve hundred inmates to rise against a corrupt and sadistic warden.
Deja Vu,2006,PG-13,126 min,"Action, Crime, Sci-Fi",7.1,$64.04M,"314,135",Tony Scott,"After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims."
The Usual Suspects,1995,R,106 min,"Crime, Drama, Mystery",8.5,$23.34M,"1,088,717",Bryan Singer,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
Troy,2004,R,163 min,Drama,7.3,$133.38M,"539,458",Wolfgang Petersen,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved."
The Life Aquatic with Steve Zissou,2004,R,119 min,"Action, Adventure, Comedy",7.2,$24.01M,"199,798",Wes Anderson,"With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son."
Major League,1989,R,107 min,"Comedy, Sport",7.2,$49.80M,"71,086",David S. Ward,"The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her."
Pulp Fiction,1994,R,154 min,"Crime, Drama",8.9,$107.93M,"2,061,161",Quentin Tarantino,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Saving Private Ryan,1998,R,169 min,"Drama, War",8.6,$216.54M,"1,395,670",Steven Spielberg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
The Departed,2006,R,151 min,"Crime, Drama, Thriller",8.5,$132.38M,"1,329,621",Martin Scorsese,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Heat,1995,R,170 min,"Action, Crime, Drama",8.3,$67.44M,"658,939",Michael Mann,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
The Silence of the Lambs,1991,R,118 min,"Crime, Drama, Thriller",8.6,$130.74M,"1,436,892",Jonathan Demme,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
No Country for Old Men,2007,R,122 min,"Crime, Drama, Thriller",8.2,$74.28M,"978,575",Ethan Coen,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
Toy Story,1995,G,81 min,"Animation, Adventure, Comedy",8.3,$191.80M,"997,568",John Lasseter,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
The Shawshank Redemption,1994,R,142 min,Drama,9.3,$28.34M,"2,686,522",Frank Darabont,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
Gangs of New York,2002,R,167 min,"Crime, Drama",7.5,$77.81M,"445,998",Martin Scorsese,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer."
The Lord of the Rings: The Two Towers,2002,PG-13,179 min,"Action, Adventure, Drama",8.8,$342.55M,"1,671,394",Peter Jackson,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Changeling,2008,R,141 min,"Biography, Crime, Drama",7.8,$35.74M,"257,472",Clint Eastwood,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child.
Rounders,1998,R,121 min,"Crime, Drama",7.3,$22.91M,"153,262",John Dahl,"A young, reformed gambler must return to playing big stakes poker to help a friend pay off loan sharks, while balancing his relationship with his girlfriend and his commitments to law school."
Casino Royale,2006,PG-13,144 min,"Action, Adventure, Thriller",8,$167.45M,"661,731",Martin Campbell,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
The Whole Nine Yards,2000,R,98 min,"Comedy, Crime",6.7,$57.26M,"122,798",Jonathan Lynn,"A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts."
Knockaround Guys,2001,R,92 min,"Crime, Drama, Thriller",6.1,$11.63M,"24,128",Brian Koppelman,"The wannabe sons of mobsters go to a remote town in the Midwest, and get themselves into more trouble than anyone could anticipate."
Ace Ventura: When Nature Calls,1995,PG-13,90 min,"Adventure, Comedy, Crime",6.4,$108.39M,"220,941",Steve Oedekerk,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
The Patriot,2000,R,165 min,"Action, Drama, History",7.2,$113.33M,"278,226",Roland Emmerich,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.
The Goonies,1985,PG,114 min,"Adventure, Comedy, Family",7.7,$61.50M,"277,681",Richard Donner,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
The Rock,1996,R,136 min,"Action, Adventure, Thriller",7.4,$134.07M,"341,665",Michael Bay,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco."
Bad Santa,2003,R,92 min,"Comedy, Crime, Drama",7.1,$60.06M,"147,800",Terry Zwigoff,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.
"Lock, Stock and Two Smoking Barrels",1998,R,107 min,"Action, Comedy, Crime",8.2,$3.90M,"585,808",Guy Ritchie,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
Office Space,1999,R,89 min,Comedy,7.6,$10.82M,"270,321",Mike Judge,Three company workers who hate their jobs decide to rebel against their greedy boss.
Iron Man,2008,PG-13,126 min,"Action, Adventure, Sci-Fi",7.9,$318.41M,"1,063,320",Jon Favreau,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
The Jackal,1997,R,124 min,"Action, Crime, Drama",6.4,$54.93M,"118,866",Michael Caton-Jones,"An imprisoned I.R.A. fighter is freed to help stop a brutal, seemingly ""faceless"" assassin from completing his next job."
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143 min,"Action, Adventure, Fantasy",8.1,$305.41M,"1,131,717",Gore Verbinski,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
Instinct,1999,R,126 min,"Drama, Thriller",6.5,$34.10M,"33,529",Jon Turteltaub,"When noted anthropologist Dr. Ethan Powell, who left society to live in the jungle, is imprisoned for murder, it's up to young psychiatrist Theo Caulder to get through to him."
Superbad,2007,R,113 min,Comedy,7.6,$121.46M,"585,982",Greg Mottola,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
The Lion King,1994,G,88 min,"Animation, Adventure, Drama",8.5,$422.78M,"1,062,024",Roger Allers,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Galaxy Quest,1999,PG,102 min,"Adventure, Comedy, Sci-Fi",7.4,$71.58M,"165,950",Dean Parisot,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord."
